,image name,point type,point #,x,y
182,PreMap/IMG_2513.JPG,fin,2,388,346
183,PreMap/IMG_2513.JPG,fin,3,573,337
184,PreMap/IMG_2566 copy.JPG,fin,1,524,158
185,PreMap/IMG_2566 copy.JPG,fin,2,382,255
186,PreMap/IMG_2566 copy.JPG,fin,3,516,254
187,PreMap/IMG_2466.JPG,fin,1,483,158
188,PreMap/IMG_2466.JPG,fin,2,394,289
189,PreMap/IMG_2466.JPG,fin,3,521,277
190,PreMap/IMG_7913.JPG,fin,1,454,239
191,PreMap/IMG_7913.JPG,fin,2,366,325
192,PreMap/IMG_7913.JPG,fin,3,468,314
193,PreMap/IMG_8387.JPG,fin,1,692,213
194,PreMap/IMG_8387.JPG,fin,2,571,323
195,PreMap/IMG_8387.JPG,fin,3,691,315
196,PreMap/IMG_2641.JPG,fin,1,385,234
197,PreMap/IMG_2641.JPG,fin,2,323,288
198,PreMap/IMG_2641.JPG,fin,3,376,285
199,PreMap/IMG_2480.JPG,fin,1,495,171
200,PreMap/IMG_2480.JPG,fin,2,322,319
201,PreMap/IMG_2480.JPG,fin,3,487,306
202,PreMap/IMG_4768.JPG,fin,1,483,234
203,PreMap/IMG_4768.JPG,fin,2,425,330
204,PreMap/IMG_4768.JPG,fin,3,519,320
205,PreMap/IMG_1994.JPG,fin,1,420,130
206,PreMap/IMG_1994.JPG,fin,2,322,256
207,PreMap/IMG_1994.JPG,fin,3,419,238
208,PreMap/IMG_2906.JPG,fin,1,540,230
209,PreMap/IMG_2906.JPG,fin,2,412,333
210,PreMap/IMG_2906.JPG,fin,3,532,325
211,PreMap/IMG_7738.JPG,fin,1,352,265
212,PreMap/IMG_7738.JPG,fin,2,260,337
213,PreMap/IMG_7738.JPG,fin,3,346,333
214,PreMap/IMG_8386.JPG,fin,1,330,226
215,PreMap/IMG_8386.JPG,fin,2,245,297
216,PreMap/IMG_8386.JPG,fin,3,323,294
217,PreMap/IMG_2521.JPG,fin,1,759,251
218,PreMap/IMG_2521.JPG,fin,2,683,292
219,PreMap/IMG_2521.JPG,fin,3,749,293
220,PreMap/IMG_1148.JPG,fin,1,499,327
221,PreMap/IMG_1148.JPG,fin,2,408,378
222,PreMap/IMG_1148.JPG,fin,3,476,379
223,PreMap/IMG_2337.JPG,fin,1,527,354
224,PreMap/IMG_2337.JPG,fin,2,450,425
225,PreMap/IMG_2337.JPG,fin,3,522,414
226,PreMap/IMG_4801.JPG,fin,1,231,233
227,PreMap/IMG_4801.JPG,fin,2,159,318
228,PreMap/IMG_4801.JPG,fin,3,235,314
229,PreMap/IMG_4829.JPG,fin,1,484,269
230,PreMap/IMG_4829.JPG,fin,2,398,339
231,PreMap/IMG_4829.JPG,fin,3,477,330
232,PreMap/IMG_2257.JPG,fin,1,521,292
233,PreMap/IMG_2257.JPG,fin,2,426,394
234,PreMap/IMG_2257.JPG,fin,3,532,376
235,PreMap/IMG_2531.JPG,fin,1,472,302
236,PreMap/IMG_2531.JPG,fin,2,404,361
237,PreMap/IMG_2531.JPG,fin,3,462,359
238,PreMap/IMG_2256.JPG,fin,1,433,244
239,PreMap/IMG_2256.JPG,fin,2,311,339
240,PreMap/IMG_2256.JPG,fin,3,425,326
241,PreMap/IMG_6346.JPG,fin,1,505,246
242,PreMap/IMG_6346.JPG,fin,2,455,295
243,PreMap/IMG_6346.JPG,fin,3,506,295
244,PreMap/IMG_2095.JPG,fin,1,747,329
245,PreMap/IMG_2095.JPG,fin,2,643,397
246,PreMap/IMG_2095.JPG,fin,3,727,394
247,PreMap/IMG_1012.JPG,fin,1,506,251
248,PreMap/IMG_1012.JPG,fin,2,327,372
249,PreMap/IMG_1012.JPG,fin,3,463,373
250,PreMap/IMG_8022.JPG,fin,1,296,340
251,PreMap/IMG_8022.JPG,fin,2,179,460
252,PreMap/IMG_8022.JPG,fin,3,315,439
253,PreMap/IMG_2269.JPG,fin,1,682,295
254,PreMap/IMG_2269.JPG,fin,2,613,345
255,PreMap/IMG_2269.JPG,fin,3,672,344
256,PreMap/IMG_2335.JPG,fin,1,773,305
257,PreMap/IMG_2335.JPG,fin,2,674,365
258,PreMap/IMG_2335.JPG,fin,3,753,362
259,PreMap/IMG_8643.JPG,fin,1,573,229
260,PreMap/IMG_8643.JPG,fin,2,440,323
261,PreMap/IMG_8643.JPG,fin,3,561,319
262,PreMap/IMG_2635 (1).JPG,fin,1,727,223
263,PreMap/IMG_2635 (1).JPG,fin,2,642,275
264,PreMap/IMG_2635 (1).JPG,fin,3,712,282
265,PreMap/IMG_1102.JPG,fin,1,526,255
266,PreMap/IMG_1102.JPG,fin,2,402,319
267,PreMap/IMG_1102.JPG,fin,3,502,319
268,PreMap/IMG_0966.JPG,fin,1,559,327
269,PreMap/IMG_0966.JPG,fin,2,422,400
270,PreMap/IMG_0966.JPG,fin,3,533,409
271,PreMap/IMG_2354.JPG,fin,1,597,219
272,PreMap/IMG_2354.JPG,fin,2,494,306
273,PreMap/IMG_2354.JPG,fin,3,590,296
274,PreMap/IMG_2545.JPG,fin,1,542,177
275,PreMap/IMG_2545.JPG,fin,2,460,293
276,PreMap/IMG_2545.JPG,fin,3,541,284
277,PreMap/IMG_2342.JPG,fin,1,461,307
278,PreMap/IMG_2342.JPG,fin,2,401,399
279,PreMap/IMG_2342.JPG,fin,3,474,385
280,PreMap/IMG_7762.JPG,fin,1,610,206
281,PreMap/IMG_7762.JPG,fin,2,428,326
282,PreMap/IMG_7762.JPG,fin,3,583,303
283,PreMap/IR_dorsal transparent.JPG,fin,1,334,62
284,PreMap/IR_dorsal transparent.JPG,fin,2,893,442
285,PreMap/IR_dorsal transparent.JPG,fin,3,385,442
